exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Barbell Seated Overhead Press,Novice,Shoulders,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Dumbbell Crush Grip Z Press,Novice,Shoulders,Dumbbell,Double Arm,Continuous,Crush Grip,Bodybuilding
Barbell Half Kneeling Overhead Press,Novice,Shoulders,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Tall Kneeling Overhead Press,Novice,Shoulders,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Bodyweight Row,Novice,Back,Barbell,Double Arm,Continuous,Pronated,Calisthenics
Ring Row,Novice,Back,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Slider Single Arm Kettlebell Suitcase Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Kettlebell Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Ring Bulgarian Row,Novice,Back,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Alternating Double Kettlebell Rotational Overhead Press,Novice,Shoulders,Kettlebell,Double Arm,Alternating,Neutral,Bodybuilding
Alternating Double Kettlebell Push Press,Novice,Shoulders,Kettlebell,Double Arm,Alternating,Pronated,Unsorted*
Cable Tall Kneeling Face Pull,Novice,Shoulders,Cable,Double Arm,Continuous,Neutral,Unsorted*
Macebell Ballistic Curl,Novice,Biceps,Macebell,Double Arm,Alternating,Mixed Grip,Ballistics
Single Arm Indian Club Outer Heart Shaped Swing,Novice,Shoulders,Indian Club,Single Arm,Continuous,Neutral,Mobility
Single Arm Clubbell Pullover,Novice,Back,Clubbell,Single Arm,Continuous,Neutral,Unsorted*
Double Clubbell Pullover,Novice,Back,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Clubbell Pullover,Novice,Back,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Clubbell Front Flag Press,Novice,Shoulders,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Single Arm Indian Club Inner Heart Shaped Swing,Novice,Shoulders,Indian Club,Single Arm,Continuous,Neutral,Mobility
Single Arm Ring Dead Hang,Novice,Back,Gymnastic Rings,Single Arm,Continuous,Pronated,Calisthenics
Single Arm Dumbbell Suitcase Deadlift,Novice,Back,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Kettlebell Front Rack Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Clubbell Torch Press,Novice,Shoulders,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Single Arm Clubbell Torch Press,Novice,Shoulders,Clubbell,Single Arm,Continuous,Neutral,Unsorted*
