exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Slider Single Arm Kettlebell Overhead Contralateral Lateral Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Pronated,Bodybuilding
Slider Single Arm Kettlebell Overhead Ipsilateral Lateral Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Pronated,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Lateral Lunge,Advanced,Quadriceps,Sliders,Single Arm,Continuous,Bottoms Up,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Lateral Lunge,Advanced,Quadriceps,Sliders,Single Arm,Continuous,Bottoms Up,Bodybuilding
Slider Single Arm Kettlebell Low Hold Contralateral Lateral Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Plate Overhead Lateral Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Plate Overhead Reverse Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Reverse Grip Incline Push Up,Beginner,Chest,Barbell,Double Arm,Continuous,Supinated,Calisthenics
Single Arm Dumbbell Shrug,Beginner,Trapezius,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Tall Kneeling Shrug,Beginner,Trapezius,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Seated Shrug,Beginner,Trapezius,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Shrug,Beginner,Trapezius ,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Hang Snatch,Intermediate,Glutes,Dumbbell,Double Arm,Continuous,Neutral,Ballistics
Single Arm Dumbbell Hang Snatch,Intermediate,Glutes,Dumbbell,Single Arm,Continuous,Neutral,Ballistics
Alternating Single Arm Dumbbell Hang Snatch,Intermediate,Glutes,Dumbbell,Single Arm,Alternating,Neutral,Ballistics
Miniband Kneeling Side Plank Clamshell,Novice,Glutes,Miniband,Single Arm,Continuous,Forearm,Bodybuilding
Miniband Thigh Side Plank Hip Abduction,Novice,Abductors,Miniband,Single Arm,Continuous,Forearm,Bodybuilding
Stability Ball Feet Elevated Russian Twist,Novice,Abdominals,Stability Ball,Double Arm,Continuous,Neutral,Unsorted*
Bodyweight Alternating Single Leg V Up,Novice,Abdominals,Bodyweight,Double Arm,Continuous,No Grip,Unsorted*
Battle Rope Alternating Lateral Lunge Alternating Wave,Intermediate,Quadriceps,Battle Ropes,Double Arm,Alternating,Neutral,Unsorted*
Single Arm Kettlebell Tall Kneeling Shrug,Beginner,Trapezius,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Seated Shrug,Beginner,Trapezius,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Plate Hip Thrust,Beginner,Glutes,Weight Plate,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Incline Bench Prone Shrug,Beginner,Trapezius,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Suspension Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Suspension Trainer,No Arms,Continuous,No Grip,Bodybuilding
Tire Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Tire,No Arms,Continuous,No Grip,Bodybuilding
Double Kettlebell Incline Bench Prone Shrug,Beginner,Trapezius,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Suspension Sissy Squat,Novice,Quadriceps,Suspension Trainer,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Incline Bench Prone Shrug,Beginner,Trapezius,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Incline Bench Prone Shrug,Beginner,Trapezius,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Seesaw Bench Press,Beginner,Chest,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Bulgarian Bag Dead Squat Clean,Intermediate,Quadriceps,Bulgarian Bag,Double Arm,Continuous,Neutral,Unsorted*
Double Dumbbell Seesaw Incline Bench Press,Beginner,Chest,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Double Dumbbell Seesaw Decline Bench Press,Beginner,Chest,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Bodyweight Hand Assisted Pistol Squat,Intermediate,Quadriceps,Bodyweight,Double Arm,Continuous,Hand Assisted,Calisthenics
Double Kettlebell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Dumbbell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Dumbbell Goblet Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Goblet,Bodybuilding
Kettlebell Horn Grip Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Horn Grip,Bodybuilding
Kettlebell Goblet Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Bodybuilding
Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Macebell Order Alternating Curtsy Lunge,Novice,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Alternating Curtsy Lunge,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Calisthenics
Heavy Sandbag Bear Hug Alternating Curtsy Lunge,Intermediate,Quadriceps,Heavy Sandbag,Double Arm,Continuous,Neutral,Unsorted*
Heavy Sandbag Shoulder Alternating Curtsy Lunge,Intermediate,Quadriceps,Heavy Sandbag,Single Arm,Continuous,Neutral,Unsorted*
Plate Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Weight Plate,Double Arm,Continuous,Neutral,Bodybuilding
Sandbag Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Sandbag Back Rack Alternating Curtsy Lunge,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Plate Hollow Body Hold,Intermediate,Abdominals,Weight Plate,Double Arm,Continuous,Neutral,Unsorted*
Double Dumbbell Seesaw Floor Press,Beginner,Chest,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Double Kettlebell Seesaw Bench Press,Beginner,Chest,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Double Kettlebell Seesaw Incline Bench Press,Beginner,Chest,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Double Kettlebell Tuck L Sit,Intermediate,Abdominals,Kettlebell,Double Arm,Continuous,Neutral,Calisthenics
Double Kettlebell Seesaw Decline Bench Press,Beginner,Chest,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Bodyweight Hollow Body Hold with Flutter Kicks,Novice,Abdominals,Bodyweight,Double Arm,Continuous,No Grip,Unsorted*
Double Kettlebell Seesaw Floor Press,Beginner,Chest,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Double Dumbbell Seesaw Overhead Press,Beginner,Shoulders,Dumbbell,Double Arm,Alternating,Neutral,Bodybuilding
Double Dumbbell Arnold Press,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Pronated,Bodybuilding
Alternating Double Dumbbell Arnold Press,Beginner,Shoulders,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Double Dumbbell Seated Arnold Press,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Pronated,Bodybuilding
Alternating Double Dumbbell Seated Arnold Press,Beginner,Shoulders,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Bodyweight Feet Elevated Frog Pump,Novice,Glutes,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Miniband Feet Elevated Frog Pump,Novice,Glutes,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Miniband Feet Elevated Glute Bridge,Novice,Glutes,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Bodyweight Reverse Plank,Novice,Abdominals,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Wall Ball Toss,Intermediate,Quadriceps,Wall Ball,Double Arm,Continuous,Neutral,Unsorted*
Wall Ball Feet Elevated Russian Twist Lateral Toss,Intermediate,Abdominals,Wall Ball,Double Arm,Continuous,Neutral,Unsorted*
Wall Ball Russian Twist Lateral Toss,Novice,Abdominals,Wall Ball,Double Arm,Continuous,Neutral,Unsorted*
Wall Ball Lateral Toss,Novice,Abdominals,Wall Ball,Double Arm,Continuous,Neutral,Unsorted*
Wall Ball Sit Up Toss,Intermediate,Abdominals,Wall Ball,Double Arm,Continuous,Neutral,Unsorted*
Double Kettlebell Suitcase Bulgarian Split Squat Jump,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Plyometric
Double Dumbbell Tall Kneeling Arnold Press,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Zercher Bulgarian Split Squat,Advanced,Quadriceps,Barbell,Double Arm,Continuous,No Grip,Bodybuilding
Dumbbell Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Goblet,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Bulgarian Split Squat,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Kettlebell Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Bodybuilding
Landmine Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Landmine,Double Arm,Continuous,Goblet,Bodybuilding
Macebell Order Bulgarian Split Squat,Intermediate,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Macebell Order Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Macebell Order Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Clubbell Order Bulgarian Split Squat,Intermediate,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Plate Overhead Bulgarian Split Squat,Intermediate,Quadriceps,Weight Plate,Double Arm,Continuous,Neutral,Bodybuilding
Tire Bulgarian Split Squat,Novice,Quadriceps,Tire,No Arms,Continuous,No Grip,Bodybuilding
Tire Bulgarian Split Squat Jump,Intermediate,Quadriceps,Tire,No Arms,Continuous,No Grip,Plyometric
Double Dumbbell Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Suitcase Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Front Rack Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Suitcase Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Suitcase Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Dumbbell Goblet Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Goblet,Bodybuilding
Dumbbell Goblet Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Goblet,Bodybuilding
Single Arm Dumbbell Suitcase Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Suitcase Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Foot Elevated Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Foot Elevated Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Front Rack Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Barbell Zercher Knee Over Toe Split Squat,Advanced,Quadriceps,Barbell,Double Arm,Continuous,No Grip,Bodybuilding
Barbell Zercher Foot Elevated Knee Over Toe Split Squat,Advanced,Quadriceps,Barbell,Double Arm,Continuous,No Grip,Bodybuilding
Barbell Back Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Front Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Overhead Foot Elevated Knee Over Toe Split Squat,Advanced,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Barbell Overhead Foot Elevated Knee Over Toe Split Squat,Expert,Quadriceps,Barbell,Single Arm,Continuous,Pronated,Bodybuilding
Bulgarian Bag Back Rack Knee Over Toe Split Squat,Novice,Quadriceps,Bulgarian Bag,Double Arm,Continuous,Neutral,Bodybuilding
Bulgarian Bag Back Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Bulgarian Bag,Double Arm,Continuous,Neutral,Bodybuilding
Plate Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Weight Plate,Double Arm,Continuous,Neutral,Bodybuilding
Plate Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Weight Plate,Double Arm,Continuous,Neutral,Bodybuilding
Double Clubbell Order Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Clubbell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Clubbell Order Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Clubbell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Macebell Order Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Bodybuilding
Macebell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Macebell Order Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Macebell Order Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Macebell Order Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Macebell Order Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Sandbag Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Sandbag Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Overhead Foot Elevated Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Contralateral Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Overhead Foot Elevated Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Overhead Foot Elevated Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Ipsilateral Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Suitcase Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Zercher Split Squat,Advanced,Quadriceps,Barbell,Double Arm,Continuous,No Grip,Bodybuilding
Suspension Alternating Split Squat Jump,Intermediate,Quadriceps,Suspension Trainer,Double Arm,Continuous,Neutral,Plyometric
Single Arm Dumbbell Suitcase Contralateral Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Suitcase Ipsilateral Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Front Rack Split Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Front Rack Ipsilateral Split Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Overhead Split Squat,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Contralateral Split Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Ipsilateral Split Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Dumbbell Goblet Split Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Goblet,Bodybuilding
Wall Ball Feet Elevated Russian Twist,Novice,Abdominals,Wall Ball,Double Arm,Continuous,Neutral,Unsorted*
Wall Ball Russian Twist,Novice,Abdominals,Wall Ball,Double Arm,Continuous,Neutral,Unsorted*
Bulgarian Bag Back Rack Split Squat,Novice,Quadriceps,Bulgarian Bag,Double Arm,Continuous,Neutral,Bodybuilding
Double Clubbell Order Split Squat,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Clubbell Order Split Squat,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Contralateral Split Squat,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Ipsilateral Split Squat,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Macebell Order Split Squat,Novice,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Macebell Order Contralateral Split Squat,Novice,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Macebell Order Ipsilateral Split Squat,Novice,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Plate Overhead Split Squat,Intermediate,Quadriceps,Weight Plate,Double Arm,Continuous,Neutral,Bodybuilding
Heavy Sandbag Bear Hug Split Squat,Intermediate,Quadriceps,Heavy Sandbag,Double Arm,Continuous,Neutral,Unsorted*
Heavy Sandbag Shoulder Contralateral Split Squat,Intermediate,Quadriceps,Heavy Sandbag,Single Arm,Continuous,Neutral,Unsorted*
Heavy Sandbag Shoulder Ipsilateral Split Squat,Intermediate,Quadriceps,Heavy Sandbag,Single Arm,Continuous,Neutral,Unsorted*
Sandbag Back Rack Split Squat,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Sandbag Front Rack Split Squat,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Alternating Double Dumbbell Tall Kneeling Arnold Press,Beginner,Shoulders,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Landmine Goblet Split Squat,Novice,Quadriceps,Landmine,Double Arm,Continuous,Goblet,Bodybuilding
Single Arm Landmine Front Rack Contralateral Split Squat,Novice,Quadriceps,Landmine,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Landmine Front Rack Ipsilateral Split Squat,Novice,Quadriceps,Landmine,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Landmine Suitcase Contralateral Split Squat,Novice,Quadriceps,Landmine,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Gunslinger,Intermediate,Back,Kettlebell,Double Arm,Continuous,Neutral,Ballistics
Single Arm Kettlebell Front Rack Ipsilateral Split Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Split Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Overhead Split Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
